diagnostic,empirical,theoretical,absolute_error,relative_error,dt
linear_shear_variance,0.6708712252415214,0.6666666666666666,0.0042045585748548,0.0063068378622822,
total_mode_variance_growth,0.22280259422265777,0.2222222222222222,0.0005803720004355639,0.0026116740019600376,
cov_aa,1.417887501740883,1.4646464646464652,0.046758962905582235,0.031925085018294067,
cov_ao,0.7168098273309143,0.757575757575758,0.04076593024484376,0.053811027923193734,
cov_oo,0.5987530909932741,0.6313131313131317,0.0325600403198576,0.0515751038666544,
quadratic_cubic_moment_balance,0.999567534549391,1.0,0.00043246545060904307,0.00043246545060904307,
quadratic_effective_S_eddy,0.5636642044358539,,,,
dt_convergence_linear_shear,0.6907722809178666,0.6666666666666666,0.024105614251199947,0.03615842137679992,0.02
dt_convergence_linear_shear,0.6771055539814173,0.6666666666666666,0.010438887314750622,0.015658330972125933,0.01
dt_convergence_linear_shear,0.6560140837076859,0.6666666666666666,0.01065258295898075,0.015978874438471125,0.005
