model,true_S,recovered_S,relerr_S,true_M,recovered_M,relerr_M,true_S_eddy,recovered_S_eddy,relerr_S_eddy,m
linear,0.2,0.19518257379966392,0.024087131001680473,1.5,1.6874416798759588,0.1249611199173059,,,,0.5
linear,0.4,0.39923343885372004,0.0019164028656999677,1.5,1.4983642254140395,0.0010905163906403577,,,,0.5
linear,0.6000000000000001,0.6076175605320059,0.012695934220009659,1.5,1.6452051607998108,0.09680344053320722,,,,0.5
linear,0.8,0.7910325833992862,0.011209270750892342,1.5,1.3783857166659972,0.08107618888933521,,,,0.5
linear,1.0,0.996617207888977,0.003382792111022992,1.5,1.6712702542743183,0.1141801695162122,,,,0.5
linear,0.2,0.20534956946434466,0.026747847321723223,2.375,2.3465703423461735,0.01197038217003223,,,,1.375
linear,0.4,0.39480735696335834,0.012981607591604216,2.375,2.342696398682423,0.01360151634424287,,,,1.375
linear,0.6000000000000001,0.6082256442546803,0.013709407091133661,2.375,2.46336338558804,0.03720563603706944,,,,1.375
linear,0.8,0.8072545299484727,0.009068162435590804,2.375,2.4333201817089116,0.02455586598269963,,,,1.375
linear,1.0,0.98990824363968,0.010091756360320003,2.375,2.4211484723899397,0.0194309357431325,,,,1.375
linear,0.2,0.2031373166547119,0.015686583273559485,3.25,3.977507835348829,0.22384856472271658,,,,2.25
linear,0.4,0.39848165673853386,0.003795858153665399,3.25,3.348909182987234,0.030433594765302822,,,,2.25
linear,0.6000000000000001,0.6003303725201747,0.0005506208669577479,3.25,3.284252735660512,0.010539303280157543,,,,2.25
linear,0.8,0.7974237595335761,0.0032203005830298836,3.25,3.309417231322839,0.01828222502241198,,,,2.25
linear,1.0,0.9893691290964484,0.010630870903551637,3.25,3.1789966836267816,0.021847174268682597,,,,2.25
linear,0.2,0.19902419002635266,0.004879049868236757,4.125,4.112679306694652,0.0029868347406904554,,,,3.125
linear,0.4,0.3920914842934271,0.01977128926643229,4.125,4.380469763405087,0.06193206385577874,,,,3.125
linear,0.6000000000000001,0.5938197029257594,0.010300495123734541,4.125,3.322473300112997,0.19455192724533402,,,,3.125
linear,0.8,0.7848200877024497,0.01897489037193792,4.125,3.547572876754099,0.13998233290809725,,,,3.125
linear,1.0,0.9726552523231611,0.02734474767683892,4.125,3.563304664282512,0.13616856623454252,,,,3.125
linear,0.2,0.19907295042734605,0.004635247863269826,5.0,4.802948975590708,0.03941020488185831,,,,4.0
linear,0.4,0.3951887053988711,0.012028236502822365,5.0,4.94212795248604,0.011574409502791917,,,,4.0
linear,0.6000000000000001,0.5952198395447267,0.007966934092122345,5.0,5.524675312090588,0.10493506241811765,,,,4.0
linear,0.8,0.7688349154016816,0.038956355747898075,5.0,4.744136716904678,0.05117265661906441,,,,4.0
linear,1.0,0.966894973107158,0.033105026892842004,5.0,4.722309808693734,0.05553803826125314,,,,4.0
quadratic,,,,1.5,,,0.384028189952246,0.3884438959162705,0.011498390169152835,0.5
quadratic,,,,3.0,,,0.302972068856422,0.30850571819140604,0.018264552755212566,2.0
quadratic,,,,5.0,,,0.25769304709037955,0.25679384315426895,0.003489438098014415,4.0
quadratic,,,,1.5,,,0.609022918479213,0.6131241878896113,0.006734179102224259,0.5
quadratic,,,,3.0,,,0.4835159059798262,0.4886653275637983,0.010649952814969,2.0
quadratic,,,,5.0,,,0.41093900855872695,0.4052901218622569,0.013746289787095717,4.0
quadratic,,,,1.5,,,0.797629540428044,0.8182858323918623,0.02589709999047069,0.5
quadratic,,,,3.0,,,0.6371010546528791,0.634971809346393,0.0033420841025703194,2.0
quadratic,,,,5.0,,,0.5370173745942144,0.5341636122213571,0.005314096913556413,4.0
quadratic,,,,1.5,,,0.9755397729869569,0.9638017868544486,0.01203229889496802,0.5
quadratic,,,,3.0,,,0.7731866915764308,0.7739237949355644,0.0009533316690057243,2.0
quadratic,,,,5.0,,,0.6530746500731337,0.6446944406327045,0.012831931907769989,4.0
quadratic,,,,1.5,,,1.1251831049580219,1.1342426079355117,0.008051581060513523,0.5
quadratic,,,,3.0,,,0.8947807567660764,0.8930123333714497,0.0019763762030579795,2.0
quadratic,,,,5.0,,,0.7595223838637527,0.747978874209263,0.015198379797270636,4.0
